'년월'	'출발지(야간체류지) 시군코드'	'출발지역명'	'도착지 시군코드'	'도착지역명'	'10대남성 유입인구'	'20대남성 유입인구'	'30대남성 유입인구'	'40대남성 유입인구'	'50대남성 유입인구'	'60대남성 유입인구'	'70대남성 유입인구'	'10대여성 유입인구'	'20대여성 유입인구'	'30대여성 유입인구'	'40대여성 유입인구'	'50대여성 유입인구'	'60대여성 유입인구'	'70대여성 유입인구'
'202001 '	'27170'	'대구광역시 서구'	'41270'	'경기도 안산시'	'0.38'	'3.4'	'6.33'	'7.38'	'8.64'	'2.83'	'0.4'	'5.45'	'3.09'	'0.63'	'3.08'	'3.29'	'1.33'	'3.65'
'202001 '	'27200'	'대구광역시 남구'	'41270'	'경기도 안산시'	'2.84'	'5.7'	'3.34'	'4.53'	'3.96'	'0.78'	'0.14'	'1.49'	'3.18'	'2.43'	'2.61'	'3.71'	'2.46'	'2.32'
'202001 '	'27230'	'대구광역시 북구'	'41270'	'경기도 안산시'	'9.42'	'20.77'	'17.06'	'17.92'	'23.02'	'9.6'	'1.1'	'7.85'	'10.44'	'6.25'	'6.06'	'3.63'	'6.41'	'2.09'
'202001 '	'27260'	'대구광역시 수성구'	'41270'	'경기도 안산시'	'6.83'	'12.36'	'7.51'	'12.66'	'12.63'	'3.86'	'1.37'	'5.94'	'7.15'	'6.43'	'6.05'	'5.94'	'2.6'	'2.85'
'202001 '	'27290'	'대구광역시 달서구'	'41270'	'경기도 안산시'	'13.21'	'18.72'	'25.24'	'23.79'	'26.02'	'8.84'	'1.65'	'5.56'	'14.15'	'5.5'	'9.81'	'7.38'	'4.56'	'3.19'
'202001 '	'27710'	'대구광역시 달성군'	'41270'	'경기도 안산시'	'2.94'	'7.02'	'9.71'	'13.21'	'10.47'	'3.57'	'0.3'	'2.27'	'4.03'	'4.17'	'3.76'	'3.11'	'2.52'	'0.66'
'202001 '	'28110'	'인천광역시 중구'	'41270'	'경기도 안산시'	'20.36'	'35.29'	'72.21'	'76.61'	'61.36'	'30.56'	'10.69'	'18.83'	'24.35'	'31.63'	'30.08'	'27.51'	'14.17'	'6.77'
'202001 '	'28140'	'인천광역시 동구'	'41270'	'경기도 안산시'	'12.64'	'18.24'	'70.55'	'68.47'	'53.99'	'23.34'	'4.83'	'5.25'	'9.37'	'15.52'	'18.05'	'21.39'	'7.53'	'6.47'
'202001 '	'28177'	'인천광역시 미추홀구'	'41270'	'경기도 안산시'	'83.69'	'214.09'	'379.83'	'445.14'	'376.07'	'138.65'	'40.46'	'65.43'	'131.87'	'145.93'	'143.72'	'159.6'	'64.32'	'35.32'
'202001 '	'28185'	'인천광역시 연수구'	'41270'	'경기도 안산시'	'98.57'	'224.89'	'425.21'	'550.66'	'477.63'	'134.66'	'22.69'	'97.35'	'155.26'	'151.77'	'186.71'	'162.46'	'42.94'	'26.17'
'202001 '	'41130'	'경기도 성남시'	'41270'	'경기도 안산시'	'126.29'	'229.5'	'393.81'	'408.38'	'435.53'	'175.84'	'37.92'	'122.57'	'184.48'	'174.33'	'175.03'	'168.49'	'68.5'	'43.85'
'202001 '	'41150'	'경기도 의정부시'	'41270'	'경기도 안산시'	'51.96'	'41.85'	'62.7'	'100.29'	'84.31'	'33.72'	'8.61'	'29.12'	'25.84'	'34.7'	'41.26'	'32.06'	'16.42'	'9.49'
